Athlete,Country
Melissa Wu,Australia
Zhou Luxin,China
Steven Barnett,Australia
Thomas Bimis,Greece
Nataliya Goncharova,Russia
Blythe Hartley,Canada
Vera Ilyina,Russia
Yuliya Koltunova,Russia
Irina Lashko,Australia
Peng Bo,China
Tobias Schellenberg,Germany
Nikolaos Siranidis,Greece
Leon Taylor,Great Britain
Loudy Tourky-Wiggins,Australia
Peter Waterfield,Great Britain
Andreas Wels,Germany
Yang Jinghui,China
Aleksandr Dobroskok,Russia
Rebecca Gilmore,Australia
Jan Hempel,Germany
Dörte Lindner,Germany
Igor Lukashin,Russia
Heiko Meyer,Germany
Fernando Platas,Mexico
Dean Pullar,Australia
Sang Xue,China
Hanna Sorokina,Ukraine
Laura Wilkinson,United States
Xiao Hailiang,China
Olena Zhupina,Ukraine
Lizzie Armitstead,Great Britain
Kristin Armstrong,United States
Judith Arndt,Germany
Dotsie Bausch,United States
Sam Bewley,New Zealand
Jack Bobridge,Australia
Julie Bresset,France
Steven Burke,Great Britain
Gillian Carleton,Canada
Bryan Coquard,France
Michaël D'Almeida,France
Rohan Dennis,Australia
Annette Edmondson,Australia
René Enders,Germany
Marco Aurelio Fontana,Italy
Robert Förstemann,Germany
Chris Froome,Great Britain
Aaron Gate,New Zealand
Jasmin Glaesser,Canada
Gong Jinjie,China
Westley Gough,New Zealand
Georgia Gould,United States
Lasse Norman Hansen,Denmark
Michael Hepburn,Australia
Philip Hindes,Great Britain
Peter Kennaugh,Great Britain
Dani King,Great Britain
Alexander Kristoff,Norway
Jaroslav Kulhavý,Czech Republic
Lee Wai Sze,Hong Kong
Tony Martin,Germany
Kaarle McCulloch,Australia
Teun Mulder,Netherlands
Glenn O'Shea,Australia
Carlos Oquendo,Colombia
Mariana Pajón,Colombia
Shane Perkins,Australia
Jennie Reed,United States
Joanna Rowsell,Great Britain
Marc Ryan,New Zealand
Nino Schurter,Switzerland
Jesse Sergent,New Zealand
Kévin Sireau,France
Laura Smulders,Netherlands
Sabine Spitz,Germany
Maris Štrombergs,Latvia
Lauren Tamayo,United States
Geraint Thomas,Great Britain
Rigoberto Urán,Colombia
Simon van Velthooven,New Zealand
Aleksandr Vinokurov,Kazakhstan
Kristina Vogel,Germany
Marianne Vos,Netherlands
Sarah Walker,New Zealand
Miriam Welte,Germany
Tara Whitten,Canada
Sam Willoughby,Australia
Julien Absalon,France
Anne-Caroline Chausson,France
Michael Færk Christensen,Denmark
Nicole Cooke,Great Britain
Juan Esteban Curuchet,Argentina
Mike Day,United States
Ross Edgar,Great Britain
Yoanka González,Cuba
Tania Guderzo,Italy
Wendy Houvenaghel,Great Britain
Mikhail Ignatyev,Russia
Emma Johansson,Sweden
Casper Jørgensen,Denmark
Irina Kalentyeva,Russia
Lesia Kalytovska,Ukraine
Jill Kintner,United States
Roger Kluge,Germany
Aleksandr Kolobnev,Russia
Gustav Larsson,Sweden
Laëtitia Le Corguillé,France
Levi Leipheimer,United States
Jens-Erik Madsen,Denmark
Paul Manning,Great Britain
Aleksey Markov,Russia
Michael Mørkøv,Denmark
Kiyofumi Nagai,Japan
Chris Newton,Great Britain
Leire Olaberria,Spain
Jean-Christophe Péraud,France
Walter Pérez,Argentina
Emma Pooley,Great Britain
Alex Rasmussen,Denmark
Donny Robinson,United States
Samuel Sánchez,Spain
Jamie Staff,Great Britain
Toni Tauler,Spain
Karin Thürig,Switzerland
Maja Wloszczowska,Poland
Tamila Abasova,Russia
Paolo Bettini,Italy
Theo Bos,Netherlands
Bart Brentjens,Netherlands
María Luisa Calle,Colombia
Sara Carrigan,Australia
Carlos Castaño,Spain
Steve Cummings,Great Britain
Gunn Rita Dahle-Flesjå,Norway
Peter Dawson,Australia
Dede Demet-Barry,United States
José Antonio Escuredo,Spain
Guido Fulst,Germany
Toshiaki Fushimi,Japan
Laurent Gané,France
Belem Guerrero,Mexico
Tyler Hamilton,United States
José Antonio Hermida,Spain
Masaki Inoue,Japan
Jiang Yonghua,China
Bobby Julich,United States
Shane Kelly,Australia
Brett Lancaster,Australia
Katie Mactier,Australia
Asier Maeztu,Spain
Franco Marvulli,Switzerland
Axel Merckx,Belgium
Lori-Ann Muenzer,Canada
Tomohiro Nagatsuka,Japan
Stuart O'Grady,Australia
Sérgio Paulinho,Portugal
Marie-Hélène Prémont,Canada
Bruno Risi,Switzerland
Luke Roberts,Australia
Bryan Steel,Great Britain
Carlos Torrent,Spain
Nataliya Tsilinskaya,Belarus
Sarah Ulmer,New Zealand
Stephen Wooldridge,Australia
Vyacheslav Yekimov,Russia
Brett Aitken,Australia
Lance Armstrong,United States
Daniel Becke,Germany
Antonella Bellutti,Italy
Barbara Blatter,Switzerland
Serhiy Cherniavskiy,Ukraine
Jonny Clay,Great Britain
Marion Clignet,France
Étienne De Wilde,Belgium
Sean Eadie,Australia
Oleksandr Fedenko,Ukraine
Michelle Ferris,Australia
Marga Fullana,Spain
Matthew Gilmore,Belgium
Oksana Grishina,Russia
Darryn Hill,Australia
Mari Holden,United States
Jiang Cuihua,China
Andreas Klöden,Germany
Hanka Kupfernagel,Germany
Jeannie Longo-Ciprelli,France
Craig MacLean,Great Britain
Silvio Martinello,Italy
Miguel Martinez,France
Serhiy Matvieiev,Ukraine
Yvonne McGregor,Great Britain
Scott McGrory,Australia
Filip Meirhaeghe,Belgium
Marty Nothstein,United States
Paola Pezzo,Italy
Olaf Pollack,Germany
Christoph Sauser,Switzerland
Oleksandr Symonenko,Ukraine
Marco Villa,Italy
Milton Wynants,Uruguay
Iryna Yanovych,Ukraine
Diana Žiliute,Lithuania
Cori Bartel,Canada
Cheryl Bernard,Canada
Carolyn Darbyshire-McRory,Canada
Markus Eggler,Switzerland
Adam Enright,Canada
Jan Hauser,Switzerland
Ben Hebert,Canada
Marc Kennedy,Canada
Cathrine Lindahl,Sweden
Liu Yin,China
Eva Lund,Sweden
Kevin Martin,Canada
Kristie Moore,Canada
John Morris,Canada
Torger Nergård,Norway
Anette Norberg,Sweden
Susan O'Connor,Canada
Håvard Vad Petersson,Norway
Ralph Stöckli,Switzerland
Simon Strübin,Switzerland
Christoffer Svae,Norway
Anna Svärd-Le Moine,Sweden
Thomas Ulsrud,Norway
Wang Bingyu,China
Yue Qingshuang,China
Zhou Yan,China
Mike Adam,Canada
Glenys Bakker,Canada
Binia Beeli,Switzerland
Pete Fenson,United States
Brad Gushue,Canada
Russ Howard,Canada
Sandra Jenkins,Canada
Christine Keshen,Canada
Kalle Kiiskinen,Finland
Shannon Kleibrink,Canada
Jamie Korab,Canada
Wille Mäkelä,Finland
Michèle Moser,Switzerland
Mark Nichols,Canada
Amy Nixon,Canada
Mirjam Ott,Switzerland
Joe Polo,United States
Shawn Rojeski,United States
Teemu Salo,Finland
John Shuster,United States
Valeria Spälty,Switzerland
Markku Uusipaavalniemi,Finland
Don Bartlett,Canada
Laurence Bidaud,Switzerland
Flemming Davanger,Norway
Luzia Ebnöther,Switzerland
Tanya Frei,Switzerland
Damian Grichting,Switzerland
Debbie Knox,Great Britain
Kelley Law,Canada
Fiona MacDonald,Great Britain
Rhona Martin,Great Britain
Margaret Morton,Great Britain
Diane Nelson,Canada
Cheryl Noble,Canada
Bent Ånund Ramsfjell,Norway
Marco Ramstein,Switzerland
Janice Rankin,Great Britain
Nadia Röthlisberger,Switzerland
Carter Rycroft,Canada
Andi Schwaller,Switzerland
Christof Schwaller,Switzerland
Julie Sutton-Skinner,Canada
Ken Tralnberg,Canada
Pål Trulsen,Norway
Lars Vågberg,Norway
Don Walchuk,Canada
Georgina Wheatcroft,Canada
Lars Berger,Norway
Dario Cologna,Switzerland
Miriam Gössner,Germany
Odd-Bjørn Hjelmeset,Norway
Martin Jakš,Czech Republic
Therese Johaug,Norway
Irina Khazova,Russia
Nataliya Korostelyova,Russia
Martin Koukal,Czech Republic
Nikita Kryukov,Russia
Virpi Kuitunen,Finland
Riitta-Liisa Lassila-Roponen,Finland
Jirí Magál,Czech Republic
Petra Majdic,Slovenia
Nikolay Morilov,Russia
Pirjo Muranen,Finland
Aleksandr Panzhinsky,Russia
Øystein Pettersen,Norway
Aleksey Petukhov,Russia
Daniel Richardsson,Sweden
Vibeke Skofterud,Norway
Anders Södergren,Sweden
Kristin Størmer Steira,Norway
Martin Johnsrud Sundby,Norway
Tim Tscharnke,Germany
Katrin Zeller,Germany
Ivan Alypov,Russia
Lina Andersson,Sweden
Nataliya Baranova,Russia
Stefanie Böhler,Germany
Mikhail Botvinov,Austria
Antonella Confortola-Wyatt,Italy
Chandra Crawford,Canada
Anna Dahlberg-Olsson,Sweden
Roddy Darragon,France
Jens Filbrich,Germany
Arianna Follis,Italy
Mathias Fredriksson,Sweden
Tor-Arne Hetland,Norway
Larisa Kurkina,Russia
Mats Larsson,Sweden
Gabriella Paruzzi,Italy
Hilde Gjermundshaug Pedersen,Norway
Sara Renner,Canada
Vasily Rochev,Russia
Andreas Schlütter,Germany
Beckie Scott,Canada
Alyona Sidko,Russia
René Sommerfeldt,Germany
Jens Arne Svartedal,Norway
Fulvio Valbusa,Italy
Sabina Valbusa,Italy
Brigitte Albrecht-Loretan,Switzerland
Anders Aukland,Norway
Per Elofsson,Sweden
Manuela Henkel,Germany
Christian Hoffmann,Austria
Andrea Huber,Switzerland
Mikhail Ivanov,Russia
Natascia Leonardi Cortesi,Switzerland
Jaak Mae,Estonia
Fabio Maj,Italy
Laurence Rochat,Switzerland
Peter Schlickenrieder,Germany
Hannes Aigner,Germany
Tim Baillie,Great Britain
Aleksandr Bogdanovich,Belarus
Andrey Bogdanovich,Belarus
Sebastian Brendel,Germany
Lisa Carrington,New Zealand
Yuriy Cheban,Ukraine
Maialen Chourraut,Spain
Jacob Clear,Australia
Saúl Craviotto,Spain
Mark de Jonge,Canada
Rudolf Dombi,Hungary
Josef Dostál,Czech Republic
Aleksandr Dyachenko,Russia
Tony Estanguet,France
Krisztina Fazekas Zur,Hungary
Emilie Fer,France
David Florence,Great Britain
Jess Fox,Australia
Bridgitte Hartley,South Africa
Daniel Havel,Czech Republic
Liam Heath,Great Britain
Pavol Hochschorner,Slovakia
Peter Hochschorner,Slovakia
Max Hoff,Germany
Martin Hollstein,Germany
Richard Hounslow,Great Britain
Vavrinec Hradílek,Czech Republic
Andreas Ihle,Germany
Olga Khudenko,Belarus
Roland Kökény,Hungary
Aleksey Korovashkov,Russia
Peter Kretschmer,Germany
Tamás Kulifai,Hungary
Kurt Kuschela,Germany
Michal Martikán,Slovakia
Ed McKeever,Great Britain
Beata Mikolajczyk,Poland
Daniele Molmenti,Italy
Karolina Naja,Poland
Mark Oldershaw,Canada
Dániel Pauman,Hungary
Ilya Pervukhin,Russia
Fernando Pimenta,Portugal
Marina Poltoran,Belarus
Irina Pomelova,Belarus
Nadezhda Popok,Belarus
Yury Postrigay,Russia
Jon Schofield,Great Britain
Ivan Shtyl,Russia
Emanuel Silva,Portugal
Dave Smith,Australia
Tate Smith,Australia
Jan Šterba,Czech Republic
Murray Stewart,Australia
Etienne Stott,Great Britain
Jevgenijus Šuklinas,Lithuania
Gabriella Szabó,Hungary
Sideris Tasiadis,Germany
Dávid Tóth,Hungary
Lukáš Trefil,Czech Republic
Aleksey Abalmasov,Belarus
Lutz Altepost,Germany
Rob Bell,Australia
Benjamin Boukpeti,Togo
Norman Bröckl,Germany
Hannah Davis,Australia
Marie Delattre,France
Torsten Eckbrett,Germany
Andrea Facchin,Italy
Fanny Fischer,Germany
Lyndsie Fogarty,Australia
Björn Goldschmidt,Germany
Alexander Grimm,Germany
Thomas Hall,Canada
Josefa Idem-Guerrini,Italy
Elena Kaliská,Slovakia
Tamás Kiss,Hungary
Kim Knudsen,Denmark
György Kozmann,Hungary
Mikhail Kuznetsov,Russia
Dmitry Larionov,Russia
Jacqui Lawrence,Australia
Fabien Lefèvre,France
Artur Litvinchuk,Belarus
Chantal Meek,Australia
Meng Guanliang,China
Violetta Oblinger-Peters,Austria
Lisa Oldenhof,Australia
Maksim Opalev,Russia
Aneta Pastuszka-Konieczna,Poland
Carlos Pérez,Spain
René Poulsen,Denmark
Ronald Rauhe,Germany
Nicole Reinhardt,Germany
Michal Riszdorfer,Slovakia
Richard Riszdorfer,Slovakia
Antonio Scaduto,Italy
Ondrej Štepánek,Czech Republic
Juraj Tarr,Slovakia
Sergey Ulegin,Russia
Attila Vajda,Hungary
Anne-Laure Viard,France
Erik Vlcek,Slovakia
Jaroslav Volf,Czech Republic
Conny Wassmuth,Germany
Tim Wieskötter,Germany
Yang Wenjun,China
Juraj Baca,Slovakia
Björn Bach,Germany
Hanna Balabanova,Ukraine
Ledys Balceiro,Cuba
Marcus Becker,Germany
Beniamino Bonomi,Italy
Kinga Bóta,Hungary
Caroline Brunet,Canada
Olena Cherevatova,Ukraine
Nils Olav Fjeldheim,Norway
Ben Fouhy,New Zealand
Rebecca Giddens,United States
Stefan Henze,Germany
Gábor Horváth,Hungary
György Kolonics,Hungary
Henrik Nilsson,Sweden
Maike Nollen,Germany
Markus Oscarsson,Sweden
Benoît Peschier,France
Stefan Pfannmöller,Germany
Helen Reeves,Great Britain
Clint Robinson,Australia
Ibrahim Rojas,Cuba
Antonio Rossi,Italy
Beata Sokolowska-Kulesza,Poland
Tetiana Teklian-Semykina,Ukraine
Stefan Ulm,Germany
Ákos Vereckei,Hungary
Erzsébet Viski,Hungary
Campbell Walsh,Great Britain
Ian Wynne,Great Britain
Mark Zabel,Germany
Pawel Baraszkiewicz,Poland
Anne-Lise Bardet,France
Krisztián Bártfai,Hungary
Dariusz Bialkowski,Poland
Katrin Borchert,Australia
Danny Collins,Australia
Pierpaolo Ferrazzi,Italy
Steve Giles,Canada
Brigitte Guibal,France
Štepánka Hilgertová,Czech Republic
Raluca Ionita,Romania
Daniel Jedraszko,Poland
Marek Jiras,Czech Republic
Rita Kobán,Hungary
Lars Kober,Germany
Michael Kolganov,Israel
Grzegorz Kotowicz,Poland
Krzysztof Kolomanski,Poland
Mariana Limbau,Romania
Tomáš Máder,Czech Republic
Juraj Mincík,Slovakia
Manuela Mucke,Germany
Ferenc Novák,Hungary
Leobaldo Pereira,Cuba
Imre Pulai,Hungary
Elena Radu,Romania
Paul Ratcliffe,Great Britain
Jan Schäfer,Germany
Thomas Schmidt,Germany
Anett Schuck,Germany
Adam Seroczynski,Poland
Michal Staniszewski,Poland
Sanda Toma,Romania
Andrew Trim,Australia
Stefan Uteß,Germany
Krisztián Veréb,Hungary
Marek Witkowski,Poland
Brett Anderson,United States
Jake Arrieta,United States
Brian Barden,United States
Alexei Bell,Cuba
Bong Jung-Keun,South Korea
Matt Brown,United States
Trevor Cahill,United States
Frederich Cepeda,Cuba
Jeremy Cummings,United States
Alfredo Despaigne,Cuba
Jason Donald,United States
Brian Duensing,United States
Giorvis Duvergel,Cuba
Michel Enríquez,Cuba
Dexter Fowler,United States
John Gall,United States
Gang Min-Ho,South Korea
Go Yeong-Min,South Korea
Norberto González,Cuba
Yulieski Gourriel,Cuba
Gwon Hyeok,South Korea
Han Gi-Ju,South Korea
Mike Hessman,United States
Jang Won-Sam,South Korea
Jeong Dae-Hyeon,South Korea
Jeong Geun-U,South Korea
Kevin Jepsen,United States
Jin Gab-Yong,South Korea
Kim Dong-Ju,South Korea
Kim Gwang-Hyeon,South Korea
Kim Hyeon-Su,South Korea
Kim Min-Jae,South Korea
Brandon Knight,United States
Mike Koplove,United States
Miguel La Hera,Cuba
Matt LaPorta,United States
Pedro Luis Lazo,Cuba
Lee Dae-Ho,South Korea
Lee Jin-Yeong,South Korea
Lee Jong-Uk,South Korea
Lee Seung-Yeop,South Korea
Lee Taek-Geun,South Korea
Lee Yong-Gyu,South Korea
Lou Marson,United States
Jonder Martínez,Cuba
Alexander Mayeta,Cuba
Rolando Meriño,Cuba
Luis Miguel Navas,Cuba
Blaine Neal,United States
Jayson Nix,United States
O Seung-Hwan,South Korea
Vicyohandri Odelín,Cuba
Héctor Olivera Jr.,Cuba
Adiel Palma,Cuba
Eduardo Paret,Cuba
Park Jin-Man,South Korea
Yadier Pedroso,Cuba
Ariel Pestano,Cuba
Luis Miguel Rodríguez,Cuba
Ryu Hyeon-Jin,South Korea
Elier Sánchez,Cuba
Eriel Sánchez,Cuba
Nate Schierholtz,United States
Song Seung-Jun,South Korea
Jeff Stevens,United States
Stephen Strasburg,United States
Taylor Teagarden,United States
Terry Tiffee,United States
Yoandri Urgellés,Cuba
Norge Luis Vera,Cuba
Casey Weathers,United States
Yoon Suk-Min,South Korea
Ryoji Aikawa,Japan
Craig Anderson,Australia
Yuya Ando,Japan
Danny Betancourt,Cuba
Luis Borroto,Cuba
Tom Brice,Australia
Adrian Burnside,Australia
Yorelvis Charles,Cuba
Gavin Fingleson,Australia
Atsushi Fujimoto,Japan
Kosuke Fukudome,Japan
Paul Gonzalez,Australia
Hirotoshi Ishii,Japan
Hisashi Iwakuma,Japan
Hitoki Iwase,Japan
Kenji Johjima,Japan
Makoto Kaneko,Japan
Nick Kimpton,Australia
Takuya Kimura,Japan
Brendan Kingman,Australia
Masahide Kobayashi,Japan
Hiroki Kuroda,Japan
Craig Lewis,Australia
Graeme Lloyd,Australia
Roger Machado,Cuba
Daisuke Matsuzaka,Japan
Danny Miranda,Cuba
Daisuke Miura,Japan
Shinya Miyamoto,Japan
Frank Montieth,Cuba
Arihito Muramatsu,Japan
Norihiro Nakamura,Japan
Dave Nilsson,Australia
Trent Oeltjen,Australia
Michihiro Ogasawara,Japan
Wayne Ough,Australia
Chris Oxspring,Australia
Alexei Ramírez,Cuba
Brett Roneberg,Australia
Ryan Rowland Smith,Australia
Antonio Scull,Cuba
Naoyuki Shimizu,Japan
John Stephens,Australia
Phil Stockman,Australia
Carlos Tabares,Cuba
Yoshinobu Takahashi,Japan
Brett Tamburrino,Australia
Yoshitomo Tani,Japan
Richard Thompson,Australia
Koji Uehara,Japan
Osmani Urrutia,Cuba
Andrew Utting,Australia
Rodney Van Buizen,Australia
Manuel Vega,Cuba
Kazuhiro Wada,Japan
Tsuyoshi Wada,Japan
Ben Wigmore,Australia
Glenn Williams,Australia
Jeff Williams,Australia
Brent Abernathy,United States
Kurt Ainsworth,United States
Omar Ajete,Cuba
Yosvany Aragón,Cuba
Pat Borders,United States
Sean Burroughs,United States
Miguel Caldés,Cuba
Danel Castro,Cuba
José Contreras,Cuba
John Cotton,United States
Travis Dawkins,United States
Yobal Dueñas,Cuba
Adam Everett,United States
Ryan Franklin,United States
Chris George,United States
Yasser Gómez,Cuba
Gu Dae-Seong,South Korea
Shane Heams,United States
Hong Seong-Heun,South Korea
José Ibar,Cuba
Im Chang-Yong,South Korea
Im Seon-Dong,South Korea
Marcus Jensen,United States
Jeong Min-Tae,South Korea
Jeong Su-Geun,South Korea
Jin Pil-Jung,South Korea
Kim Gi-Tae,South Korea
Kim Han-Su,South Korea
Kim Su-Gyeong,South Korea
Kim Tae-Gyun,South Korea
Orestes Kindelán,Cuba
Mike Kinkade,United States
Rick Krivda,United States
Lee Byeong-Gyu,South Korea
Lee Seung-Ho,South Korea
Omar Linares,Cuba
Oscar Macias,Cuba
Juan Manrique,Cuba
Javier Méndez,Cuba
Germán Mesa,Cuba
Doug Mientkiewicz,United States
Mike Neill,United States
Roy Oswalt,United States
Antonio Pacheco,Cuba
Park Gyeong-Wan,South Korea
Park Jae-Hong,South Korea
Park Jong-Ho,South Korea
Park Seok-Jin,South Korea
Gabriel Pierre,Cuba
Jon Rauch,United States
Maels Rodríguez,Cuba
Anthony Sanders,United States
Bobby Seay,United States
Ben Sheets,United States
Son Min-Han,South Korea
Song Jin-U,South Korea
Luis Ulacia,Cuba
Lazaro Valle,Cuba
Brad Wilkerson,United States
Todd Williams,United States
Ernie Young,United States
Tim Young,United States
Nicola Adams,Great Britain
Misha Aloyan,Russia
Lázaro Álvarez,Cuba
Adriana Araújo,Brazil
Abbos Atayev,Uzbekistan
David Ayrapetyan,Russia
Paddy Barnes,Ireland
Denys Berinchyk,Ukraine
Roberto Cammarelle,Italy
Luke Campbell,Great Britain
Mavzuna Choriyeva,Tajikistan
Michael Conlan,Ireland
Ivan Dychko,Kazakhstan
Marlen Esparza,United States
Fred Evans,Great Britain
Esquiva Florentino,Brazil
Yamaguchi Florentino,Brazil
Han Sun-Cheol,South Korea
Oleksandr Hvozdyk,Ukraine
Roniel Iglesias,Cuba
Anthony Joshua,Great Britain
M. C. Mary Kom,India
Li Jinzi,China
Vasyl Lomachenko,Ukraine
Vincenzo Mangiacapre,Italy
Yegor Mekhontsev,Russia
Ryota Murata,Japan
M?h?mm?dr?sul M?cidov,Azerbaijan
Teymur M?mm?dov,Azerbaijan
John Joe Nevin,Ireland
Adilbek Niyazymbetov,Kazakhstan
Nyambayaryn Tögstsogt,Mongolia
Sofya Ochigava,Russia
Anthony Ogogo,Great Britain
Evaldas Petrauskas,Lithuania
Kaeo Pongprayoon,Thailand
Tervel Pulev,Bulgaria
Robeisy Ramírez,Cuba
Ren Cancan,China
Clemente Russo,Italy
Serik Sapiyev,Kazakhstan
Taras Shelestiuk,Ukraine
Claressa Shields,United States
Satoshi Shimizu,Japan
Katie Taylor,Ireland
Yasnier Toledo,Cuba
Nadezhda Torlopova,Russia
Uranchimegiin Mönkh-Erdene,Mongolia
Oleksandr Usik,Ukraine
Marina Volnova,Kazakhstan
Andrey Zamkovoy,Russia
Zou Shiming,China
Osmay Acosta,Cuba
Georgiy Balakshin,Russia
Carlos Banteux,Cuba
Manus Boonjumnong,Thailand
Rakhim Chakhkiyev,Russia
Emilio Correa Jr.,Cuba
James DeGale,Great Britain
Félix Díaz,Dominican Republic
Khédafi Djelkhir,France
Kenny Egan,Ireland
Enkhbatyn Badar-Uugan,Mongolia
Vaeceslav Gojan,Moldova
Hanati Silamu,China
Yampier Hernández,Cuba
V'iacheslav Hlazkov,Ukraine
Sahin Imranov,Azerbaijan
Hrachik Javakhyan,Armenia
Tony Jeffries,Great Britain
Somjit Jongjohor,Thailand
Bruno Julie,Mauritius
Yakup Kiliç,Turkey
Kim Jeong-Ju,South Korea
Andry Laffita,Cuba
Yankiel León,Cuba
Vincenzo Picardi,Italy
David Price,Great Britain
Pürevdorjin Serdamba,Mongolia
Bakhyt Sarsekbayev,Kazakhstan
Yerkebulan Shynaliyev,Kazakhstan
Vijender Singh,India
Daouda Sow,France
Darren Sutherland,Ireland
Aleksey Tishchenko,Russia
Yordenis Ugás,Cuba
Alexis Vastine,France
Deontay Wilder,United States
Zhang Xiaoping,China
Zhang Zhilei,China
Mohamed Aly,Egypt
Lorenzo Aragon,Cuba
Magomed Aripgadzhiyev,Belarus
Bakhtiyar Artayev,Kazakhstan
Fuad Aslanov,Azerbaijan
Yan Barthelemí,Cuba
Andre Dirrell,United States
Mohamed El-Sayed,Egypt
Naser El-Shami,Syria
Yuriorkis Gamboa,Cuba
Gaydarbek Gaydarbekov,Russia
Boris Georgiev,Bulgaria
Ionut Gheorghe,Romania
Gennady Golovkin,Kazakhstan
Ahmed Ismail,Egypt
Jo Seok-Hwan,South Korea
Yudel Johnson,Cuba
Sergey Kazakov,Russia
Amir Khan,Great Britain
Utkirbek Khaydarov,Uzbekistan
Murat Khrachov,Russia
Kim Song-Guk,North Korea
Mario Kindelán,Cuba
Michel López,Cuba
Agasi M?mm?dov,Azerbaijan
Worapoj Petchkoom,Thailand
Aleksandr Povetkin,Russia
Suriya Prasathinphimai,Thailand
Rustam Rahimov,Germany
Guillermo Rigondeaux,Cuba
Oleg Saitov,Russia
Odlanier Solís,Cuba
Bakhodirdzhon Sultanov,Uzbekistan
Vitali Tajbert,Germany
Jérôme Thomas,France
André Ward,United States
Atagün Yalçinkaya,Turkey
Serik Yeleuov,Kazakhstan
Viktor Zuyev,Belarus
Mukhammad Kadyr Abdullayev,Uzbekistan
Mohamed Allalou,Algeria
Brahim Asloum,France
Cristian Bejarano,Mexico
Vladimir Ch'ant'uria,Georgia
Serhiy Danylchenko,Ukraine
Mukhtarkhan Dildabekov,Kazakhstan
Serhiy Dotsenko,Ukraine
Kamil Dzhamaludinov,Russia
Zsolt Erdei,Hungary
Andriy Fedchuk,Ukraine
Vitalie Grusac,Moldova
Jorge Gutiérrez,Cuba
Audley Harrison,Great Britain
Sultan-Akhmed Ibragimov,Russia
Yermakhan Ibraimov,Kazakhstan
Ricardo Juarez,United States
Kim Un-Chol,North Korea
Sebastian Köber,Germany
Andriy Kotelnyk,Ukraine
Rudi Kraj,Czech Republic
Aleksandr Lebzyak,Russia
Rafael Lozano,Spain
Diógenes Luña,Cuba
Raimkul Malakhbekov,Russia
Aleksandr Maletin,Russia
Sergey Mikhaylov,Uzbekistan
Wijan Ponlid,Thailand
Maikro Romero,Cuba
Rustam Saidov,Uzbekistan
Bekzat Sattarkhanov,Kazakhstan
Félix Savón,Cuba
Dorel Simion,Romania
Marian Simion,Romania
Volodymyr Sydorenko,Ukraine
Tahar Tamsamani,Morocco
Jermain Taylor,United States
Pornchai Thongburan,Thailand
Paolo Vidoz,Italy
Clarence Vinson,United States
Ricardo Williams Jr.,United States
Bolat Zhumadilov,Kazakhstan
Vüqar Mursal ?l?kb?rov,Azerbaijan
Richy Adjei,Germany
David Bissett,Canada
Lascelles Brown,Canada
Shelley-Ann Brown,Canada
Thomas Florschütz,Germany
Steve Holcomb,United States
Kaillie Humphries,Canada
Chris le Bihan,Canada
Steve Mesler,United States
Elana Meyers,United States
Heather Moyse,Canada
Justin Olsen,United States
Erin Pac,United States
Martin Putze,Germany
Alexander Rödiger,Germany
Lyndon Rush,Canada
Curt Tomasevicz,United States
Helen Upperton,Canada
Aleksey Voyevoda,Russia
Aleksandr Zubkov,Russia
Valerie Fleming,United States
Cédric Grand,Switzerland
René Hoppe,Germany
Jennifer Isacco,Italy
Thomas Lamparter,Switzerland
Pierre Lueders,Canada
Sandra Prokoff-Kiriasis,Germany
Shauna Rohbock,United States
Anja Schneiderheinze,Germany
Aleksey Seliverstov,Russia
Gerda Weissensteiner,Italy
Filipp Yegorov,Russia
Steve Anderhub,Switzerland
Jill Bakken,United States
Carsten Embach,Germany
Susi Erdmann,Germany
Vonetta Flowers,United States
Todd Hays,United States
Nicole Herschmann,Germany
Garrett Hines,United States
Ulrike Holzner,Germany
Randy Jones,United States
Mike Kohn,United States
Enrico Kühn,Germany
Christoph Langen,Germany
Christian Reich,Switzerland
Bill Schuffenhauer,United States
Doug Sharp,United States
Brian Shimer,United States
Dan Steele,United States
Markus Zimmermann,Germany
Sandrine Bailly,France
Sylvie Becaert,France
Tora Berger,Norway
Anna Bogaly-Titovets,Russia
Tarjei Bø,Norway
Ivan Cherezov,Russia
Maksim Chudov,Russia
Darya Domracheva,Belarus
Simon Eder,Austria
Jakov Fak,Croatia
Björn Ferry,Sweden
Martin Fourcade,France
Pavol Hurajt,Slovakia
Yelena Khrustalyova,Kazakhstan
Dominik Landertinger,Austria
Daniel Mesotitsch,Austria
Sergey Novikov,Belarus
Anton Shipulin,Russia
Svetlana Sleptsova,Russia
Frode Andresen,Norway
Katrin Apel,Germany
Ferréol Cannard,France
Sergey Chepikov,Russia
Nikolay Kruglov,Russia
Delphine Peretto,France
Julien Robert,France
Michael Rösch,Germany
Pavel Rostovtsev,Russia
Tomasz Sikora,Poland
Liliya Yefremova,Ukraine
Gunn Margit Andreassen,Norway
Egil Gjelland,Norway
Galina Kukleva,Russia
Gilles Marguet,France
Viktor Maygurov,Russia
Irina Nikulchina,Bulgaria
Wolfgang Perner,Austria
Peter Sendel,Germany
Ann Elen Skjelbreid,Norway
Linda Tjørhom,Norway
Julius Brink,Germany
Alison Cerutti,Brazil
Emanuel,Brazil
Jen Kessy,United States
Larissa,Brazil
Misty May-Treanor,United States
Martinš Plavinš,Latvia
Jonas Reckermann,Germany
April Ross,United States
Janis Šmedinš,Latvia
